image,method,under_exposed_ratio,over_exposed_ratio_from_image,well_exposed_ratio,mean_y,mean_y_gain_from_image,color_shift_from_input
lime_02,Retinex,0.014654166666666666,0.0013125,0.9815541666666666,0.5941697359085083,0.5227689743041992,0.5481461882591248
lime_02,Zero-DCE-Lite,0.017566666666666668,0.0024666666666666665,0.9423583333333333,0.43766722083091736,0.36626648902893066,0.3758573830127716
lime_02,LPIA-LightU-Net,0.0115,0.0033875,0.9532375,0.37558820843696594,0.30418747663497925,0.294742614030838
lime_02,LPIA-Former-Lite,0.009658333333333333,0.004270833333333333,0.9563833333333334,0.3736339807510376,0.3022332191467285,0.29358503222465515
lime_03,Gamma(0.6),0.0390375,0.000175,0.8420541666666667,0.2827282249927521,0.13267657160758972,0.13238343596458435
lime_03,Retinex,0.018195833333333335,0.0001875,0.9656291666666666,0.38833242654800415,0.2382807731628418,0.27251532673835754
lime_03,Zero-DCE-Lite,0.007075,0.00045,0.9660458333333334,0.530628502368927,0.38057684898376465,0.3843706548213959
lime_03,LPIA-LightU-Net,0.020258333333333333,0.00045,0.9202333333333333,0.4125767648220062,0.26252511143684387,0.2380165308713913
lime_03,LPIA-Former-Lite,0.007775,0.0010166666666666666,0.9392875,0.45268550515174866,0.3026338517665863,0.27933594584465027
lime_04,Gamma(0.6),0.004716666666666667,4.166666666666667e-06,0.9820583333333334,0.3338042199611664,0.1603238880634308,0.1566241830587387
lime_04,Retinex,0.015208333333333334,0.0,0.9781,0.4564140737056732,0.2829337418079376,0.27407875657081604
lime_04,Zero-DCE-Lite,0.0012375,0.0010458333333333333,0.9921958333333334,0.6727803349494934,0.4993000030517578,0.48223182559013367
lime_04,LPIA-LightU-Net,0.0033583333333333334,0.0007666666666666667,0.9771875,0.41763821244239807,0.24415788054466248,0.24609823524951935
lime_04,LPIA-Former-Lite,0.005966666666666667,0.0010083333333333333,0.9696541666666667,0.4135056138038635,0.24002528190612793,0.2393970936536789
lime_05,Gamma(0.6),0.053226961901660694,0.0011331813741452296,0.88910452621296,0.4248308837413788,0.11734989285469055,0.11551707983016968
lime_05,Retinex,0.018795180722891568,0.0020058612829697165,0.9602800390752197,0.5738072991371155,0.26632630825042725,0.27542629837989807
lime_05,Zero-DCE-Lite,0.023861934223380007,0.2661087593617714,0.6337935525887333,0.6468983292579651,0.33941733837127686,0.33641543984413147
lime_05,LPIA-LightU-Net,0.035910126994464345,0.0,0.9186779550634973,0.4047277569770813,0.09724676609039307,0.08651793003082275
lime_05,LPIA-Former-Lite,0.004871377401497883,0.00020840117225659393,0.9369912080755455,0.44304928183555603,0.1355682909488678,0.12766067683696747
mef_01,Gamma(0.6),0.021708333333333333,0.006725,0.70995,0.27601322531700134,0.11306999623775482,0.1114671602845192
mef_01,Retinex,0.021791666666666668,0.0055125,0.9392166666666667,0.41250190138816833,0.24955867230892181,0.23646698892116547
mef_01,Zero-DCE-Lite,0.0005291666666666667,0.017608333333333333,0.9478125,0.5224836468696594,0.3595404028892517,0.3515366017818451
mef_01,LPIA-LightU-Net,0.007508333333333333,0.0048375,0.9238041666666666,0.3536248803138733,0.19068165123462677,0.19479189813137054
mef_01,LPIA-Former-Lite,2.0833333333333333e-05,0.006870833333333333,0.9456833333333333,0.3438366651535034,0.1808934360742569,0.18614615499973297
mef_02,Gamma(0.6),0.06307083333333334,0.008758333333333333,0.7887125,0.20981429517269135,0.10798938572406769,0.1074361726641655
mef_02,Retinex,0.019404166666666667,0.011154166666666666,0.9516625,0.4543859362602234,0.35256102681159973,0.34768763184547424
mef_02,Zero-DCE-Lite,0.0036625,0.023245833333333334,0.8977708333333333,0.46607115864753723,0.3642462491989136,0.36498668789863586
mef_02,LPIA-LightU-Net,0.0,0.01727916666666667,0.9554458333333333,0.33862754702568054,0.23680263757705688,0.23523657023906708
